team,id,name,position,jersey,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns
Texas A&M,00ca3a90-1417-11ed-99ab-175543659a4f,Andrew Maleski,WR,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,029617b0-850e-11ec-b84d-a909c14fc4b8,Jake Johnson,TE,19,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,02c965c7-4ba5-4bfa-92b4-80c2a477dbd1,Kyle Fitzgerald,DB,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,0426e0ff-e19f-4cfb-a25c-649718f06a4d,Eli Stowers,TE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,0742e028-95f1-444b-9acd-4669c7ac7761,Shemar Turner,DE,,,,,,,,,,,,,10.0,9.0,19.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,08809b73-0f83-4aaf-a8b8-93500a99fc60,Owen Jebson,OL,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,090b25b0-850c-11ec-b446-1b024413db39,Gabriel Brownlow-Dindy,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,0ac3dea0-1419-11ed-8f55-53b238da45a2,Tyndall McNamara,LB,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,0cab6307-8ab0-4664-8ec9-28f152b066fb,Jaylon Jones,DB,0,,,,,,,,,,,,11.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,0fb5bb40-850d-11ec-b446-1b024413db39,Marquis Groves-Killebrew,DB,5,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,10501340-1417-11ed-99ab-175543659a4f,Jaxon Rush,WR,32,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,14173940-8510-11ec-b84d-a909c14fc4b8,Walter Nolen,DT,,,,,,,,,,,,,12.0,6.0,18.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,1442457b-cad3-4332-ade1-6fa47f1f6de4,Remington Strickland,OL,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,14c0064e-8069-4a2d-bdaa-b820d2dc75d2,Andrew Merrick,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,17d101a5-059e-4b18-9ceb-ae2ef3eff4b2,Fadil Diggs,DE,,,,,,,,,,,,,11.0,4.0,15.0,3.0,11.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,19e79cdd-c772-4b21-b4b4-a42b95eb55af,John Sabra,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,1f416e10-8512-11ec-99e6-19cade85298b,Conner Weigman,QB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.593,27.0,0.0,97.0,32.0,0.0,1.0,2.0,-6.0,7.0,132.0,73.0,55.303,896.0,6.788,8.0,51.0,8.0,45.0,0.0,132.32,22.0,73.0,14.0,896.0,36.0,0.0
Texas A&M,1f839b6b-7abf-4a19-99ac-a0f76acac21c,Avery Hughes,DB,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,2100cca0-313d-11ed-bfcf-65eaff9f277b,Nathan Figueroa,TE,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,2171c2f0-850f-11ec-b84d-a909c14fc4b8,Jacoby Mathews,DB,,,,,,,,,,,,,17.0,4.0,21.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,27d6fc10-6b61-4eb7-8416-a4de2ac2ff6e,Travis Pepin,DL,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,2d719740-8511-11ec-9a71-73254de4b571,Shemar Stewart,DE,,,,,,,,,,,,,8.0,4.0,12.0,1.5,6.5,0.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,35d31042-15bc-47d1-8f13-f1afa0703a5a,Fernando Garza III,TE,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3618ffeb-0200-4d93-a2f4-33fe6fba64bf,Aki Ogunbiyi,OL,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,38a88eb7-f235-4bca-b8e4-dec3892aa31c,Kenyon Jackson,WR,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,38f271aa-04ce-4349-b6de-883842654e75,Demani Richardson,DB,,,,,,,,,,,,,25.0,11.0,36.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3928fe55-6218-4931-9a86-6a8dcfecee1e,Max Wright,TE,,9.0,16.0,129.0,14.333,31.0,1.0,9.0,129.0,2.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,39b04fae-f23b-4c7e-b231-af6c193f4274,Adarious Jones,DL,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3a49b3c0-1419-11ed-8f55-53b238da45a2,Zach Rogers,OL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,3f25de20-8510-11ec-b84d-a909c14fc4b8,Theo Melin Ohrstrom,TE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
